# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_matrix_30seed
# ns3_version=3.41
# config_hash=f478b8584cdb3946
N,mode,seed,frameSize,simTime,goodput_mbps
10,unicast,23,1400,10.0,4.34672
10,unicast,24,1400,10.0,4.33552
10,unicast,25,1400,10.0,4.33216
10,unicast,26,1400,10.0,4.36016
10,unicast,27,1400,10.0,4.3232
10,unicast,28,1400,10.0,4.29184
10,unicast,29,1400,10.0,4.32544
10,unicast,30,1400,10.0,4.3344
10,broadcast,1,1400,10.0,3.13712
10,broadcast,2,1400,10.0,3.14944
10,broadcast,3,1400,10.0,3.11808
10,broadcast,4,1400,10.0,3.09792
10,broadcast,5,1400,10.0,3.12816
10,broadcast,6,1400,10.0,3.11136
10,broadcast,7,1400,10.0,3.17184
10,broadcast,8,1400,10.0,3.1472
10,broadcast,9,1400,10.0,3.1304
10,broadcast,10,1400,10.0,3.14496
10,broadcast,11,1400,10.0,3.13936
10,broadcast,12,1400,10.0,3.09232
10,broadcast,13,1400,10.0,3.10912
10,broadcast,14,1400,10.0,3.06992
10,broadcast,15,1400,10.0,3.11024
10,broadcast,16,1400,10.0,3.1752
10,broadcast,17,1400,10.0,3.1304
10,broadcast,18,1400,10.0,3.1192
10,broadcast,19,1400,10.0,3.17296
10,broadcast,20,1400,10.0,3.14272
10,broadcast,21,1400,10.0,3.10688
10,broadcast,22,1400,10.0,3.11248
10,broadcast,23,1400,10.0,3.17184
10,broadcast,24,1400,10.0,3.15728
10,broadcast,25,1400,10.0,3.12256
10,broadcast,26,1400,10.0,3.1192
10,broadcast,27,1400,10.0,3.16624
10,broadcast,28,1400,10.0,3.11248
10,broadcast,29,1400,10.0,3.06768
10,broadcast,30,1400,10.0,3.12816
20,unicast,1,1400,10.0,3.94688
20,unicast,2,1400,10.0,3.9312
20,unicast,3,1400,10.0,3.96368
20,unicast,4,1400,10.0,3.94352
20,unicast,5,1400,10.0,3.93344
20,unicast,6,1400,10.0,3.9592
20,unicast,7,1400,10.0,3.948
20,unicast,8,1400,10.0,3.9256
20,unicast,9,1400,10.0,3.93792
20,unicast,10,1400,10.0,3.9424
20,unicast,11,1400,10.0,3.95136
20,unicast,12,1400,10.0,3.93904
20,unicast,13,1400,10.0,3.96816
20,unicast,14,1400,10.0,3.97376
20,unicast,15,1400,10.0,3.98384
20,unicast,16,1400,10.0,4.00288
20,unicast,17,1400,10.0,3.94016
20,unicast,18,1400,10.0,3.95024
20,unicast,19,1400,10.0,3.948
20,unicast,20,1400,10.0,3.97376
20,unicast,21,1400,10.0,3.99168
20,unicast,22,1400,10.0,3.94912
20,unicast,23,1400,10.0,3.98496
20,unicast,24,1400,10.0,3.92224
20,unicast,25,1400,10.0,3.96032
20,unicast,26,1400,10.0,3.95696
20,unicast,27,1400,10.0,3.96032
20,unicast,28,1400,10.0,3.95696
20,unicast,29,1400,10.0,3.94464
20,unicast,30,1400,10.0,3.97152
20,broadcast,1,1400,10.0,1.83456
20,broadcast,2,1400,10.0,1.8088
20,broadcast,3,1400,10.0,1.77632
20,broadcast,4,1400,10.0,1.764
20,broadcast,5,1400,10.0,1.84016
20,broadcast,6,1400,10.0,1.82336
20,broadcast,7,1400,10.0,1.71024
20,broadcast,8,1400,10.0,1.73264
20,broadcast,9,1400,10.0,1.73824
20,broadcast,10,1400,10.0,1.83008
20,broadcast,11,1400,10.0,1.78864
20,broadcast,12,1400,10.0,1.75616
20,broadcast,13,1400,10.0,1.81776
20,broadcast,14,1400,10.0,1.76512
20,broadcast,15,1400,10.0,1.83456
20,broadcast,16,1400,10.0,1.77968
20,broadcast,17,1400,10.0,1.80992
20,broadcast,18,1400,10.0,1.77744
20,broadcast,19,1400,10.0,1.80432
20,broadcast,20,1400,10.0,1.78976
20,broadcast,21,1400,10.0,1.7584
20,broadcast,22,1400,10.0,1.74048
20,broadcast,23,1400,10.0,1.76848
20,broadcast,24,1400,10.0,1.76176
20,broadcast,25,1400,10.0,1.79088
20,broadcast,26,1400,10.0,1.7752
20,broadcast,27,1400,10.0,1.78976
20,broadcast,28,1400,10.0,1.81328
20,broadcast,29,1400,10.0,1.79872
20,broadcast,30,1400,10.0,1.81888
35,unicast,1,1400,10.0,3.62768
35,unicast,2,1400,10.0,3.6064
35,unicast,3,1400,10.0,3.68144
35,unicast,4,1400,10.0,3.59632
35,unicast,5,1400,10.0,3.60528
35,unicast,6,1400,10.0,3.60976
35,unicast,7,1400,10.0,3.63888
35,unicast,8,1400,10.0,3.61536
35,unicast,9,1400,10.0,3.61648
35,unicast,10,1400,10.0,3.64
35,unicast,11,1400,10.0,3.64336
35,unicast,12,1400,10.0,3.59072
35,unicast,13,1400,10.0,3.63552
35,unicast,14,1400,10.0,3.60304
35,unicast,15,1400,10.0,3.64784
35,unicast,16,1400,10.0,3.6456
35,unicast,17,1400,10.0,3.584
35,unicast,18,1400,10.0,3.64336
35,unicast,19,1400,10.0,3.56944
35,unicast,20,1400,10.0,3.61088
35,unicast,21,1400,10.0,3.5952
35,unicast,22,1400,10.0,3.6176
35,unicast,23,1400,10.0,3.64448
35,unicast,24,1400,10.0,3.58176
35,unicast,25,1400,10.0,3.61424
35,unicast,26,1400,10.0,3.66352
35,unicast,27,1400,10.0,3.62768
35,unicast,28,1400,10.0,3.62544
35,unicast,29,1400,10.0,3.61424
35,unicast,30,1400,10.0,3.63104
35,broadcast,1,1400,10.0,1.25216
35,broadcast,2,1400,10.0,1.2152
35,broadcast,3,1400,10.0,1.1984
35,broadcast,4,1400,10.0,1.25216
35,broadcast,5,1400,10.0,1.21968
35,broadcast,6,1400,10.0,1.24096
35,broadcast,7,1400,10.0,1.22976
35,broadcast,8,1400,10.0,1.19168
35,broadcast,9,1400,10.0,1.19728
35,broadcast,10,1400,10.0,1.23088
35,broadcast,11,1400,10.0,1.22528
35,broadcast,12,1400,10.0,1.19728
35,broadcast,13,1400,10.0,1.28128
35,broadcast,14,1400,10.0,1.2656
35,broadcast,15,1400,10.0,1.25104
35,broadcast,16,1400,10.0,1.23648
35,broadcast,17,1400,10.0,1.24992
35,broadcast,18,1400,10.0,1.25104
35,broadcast,19,1400,10.0,1.2264
35,broadcast,20,1400,10.0,1.25664
35,broadcast,21,1400,10.0,1.2208
35,broadcast,22,1400,10.0,1.27232
35,broadcast,23,1400,10.0,1.24992
35,broadcast,24,1400,10.0,1.1984
35,broadcast,25,1400,10.0,1.25664
35,broadcast,26,1400,10.0,1.21408
35,broadcast,27,1400,10.0,1.22976
35,broadcast,28,1400,10.0,1.23648
35,broadcast,29,1400,10.0,1.2824
35,broadcast,30,1400,10.0,1.19952
50,unicast,1,1400,10.0,3.416
50,unicast,2,1400,10.0,3.40032
50,unicast,3,1400,10.0,3.36224
50,unicast,4,1400,10.0,3.38016
50,unicast,5,1400,10.0,3.33984
50,unicast,6,1400,10.0,3.40928
50,unicast,7,1400,10.0,3.4048
50,unicast,8,1400,10.0,3.41376
50,unicast,9,1400,10.0,3.39024
50,unicast,10,1400,10.0,3.42272
50,unicast,11,1400,10.0,3.41712
50,unicast,12,1400,10.0,3.40368
50,unicast,13,1400,10.0,3.42832
50,unicast,14,1400,10.0,3.39248
50,unicast,15,1400,10.0,3.41376
50,unicast,16,1400,10.0,3.3936
50,unicast,17,1400,10.0,3.40592
50,unicast,18,1400,10.0,3.42048
50,unicast,19,1400,10.0,3.3936
50,unicast,20,1400,10.0,3.40928
50,unicast,21,1400,10.0,3.39808
50,unicast,22,1400,10.0,3.37792
50,unicast,23,1400,10.0,3.36112
50,unicast,24,1400,10.0,3.388
50,unicast,25,1400,10.0,3.39472
50,unicast,26,1400,10.0,3.388
50,unicast,27,1400,10.0,3.39808
50,unicast,28,1400,10.0,3.40592
50,unicast,29,1400,10.0,3.38912
50,unicast,30,1400,10.0,3.39136
50,broadcast,1,1400,10.0,1.25776
50,broadcast,2,1400,10.0,1.24432
50,broadcast,3,1400,10.0,1.19616
50,broadcast,4,1400,10.0,1.30928
50,broadcast,5,1400,10.0,1.26
50,broadcast,6,1400,10.0,1.25664
50,broadcast,7,1400,10.0,1.2488
50,broadcast,8,1400,10.0,1.2432
50,broadcast,9,1400,10.0,1.19504
50,broadcast,10,1400,10.0,1.2432
50,broadcast,11,1400,10.0,1.27008
50,broadcast,12,1400,10.0,1.23984
50,broadcast,13,1400,10.0,1.27344
50,broadcast,14,1400,10.0,1.3048
50,broadcast,15,1400,10.0,1.2656
50,broadcast,16,1400,10.0,1.25552
50,broadcast,17,1400,10.0,1.2656
50,broadcast,18,1400,10.0,1.23424
50,broadcast,19,1400,10.0,1.25328
50,broadcast,20,1400,10.0,1.288
50,broadcast,21,1400,10.0,1.25664
50,broadcast,22,1400,10.0,1.29136
50,broadcast,23,1400,10.0,1.25776
50,broadcast,24,1400,10.0,1.23536
50,broadcast,25,1400,10.0,1.25888
50,broadcast,26,1400,10.0,1.21968
50,broadcast,27,1400,10.0,1.24544
50,broadcast,28,1400,10.0,1.23536
50,broadcast,29,1400,10.0,1.28688
50,broadcast,30,1400,10.0,1.22976
