# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=e4_crossover
# config_hash=5e8d7eb6ae0eba70
# ed25519_verify_speedup_vs_bls=33.186
# plausible_kappa_max=0.5
# R_bps=6000000
scheme_pair,rho,b,lambda,delta_bytes,radio_saving_us,extra_cpu_us_med,extra_cpu_us_lo,extra_cpu_us_hi,kappa_star_med,kappa_star_lo,kappa_star_hi,ed_verify_ok,bls_verify_ok,winner_plausible
ed25519_vs_bls,0.25,32,800,14.5,19.3333,839.1794,839.138,839.2787,43.4058,43.4037,43.411,True,True,ed25519
ed25519_vs_bls,0.25,32,2000,14.5,19.3333,839.1794,839.138,839.2787,43.4058,43.4037,43.411,True,False,ed25519
ed25519_vs_bls,0.5,32,50,30.0,40.0,1417.3508,1417.2752,1417.5375,35.4338,35.4319,35.4384,True,True,ed25519
ed25519_vs_bls,0.5,32,200,30.0,40.0,1417.3508,1417.2752,1417.5375,35.4338,35.4319,35.4384,True,True,ed25519
ed25519_vs_bls,0.5,32,800,30.0,40.0,1417.3508,1417.2752,1417.5375,35.4338,35.4319,35.4384,True,False,ed25519
ed25519_vs_bls,0.5,32,2000,30.0,40.0,1417.3508,1417.2752,1417.5375,35.4338,35.4319,35.4384,True,False,ed25519
ed25519_vs_bls,1.0,32,50,61.0,81.3333,2573.6937,2573.5497,2574.0549,31.6438,31.642,31.6482,True,True,ed25519
ed25519_vs_bls,1.0,32,200,61.0,81.3333,2573.6937,2573.5497,2574.0549,31.6438,31.642,31.6482,True,True,ed25519
ed25519_vs_bls,1.0,32,800,61.0,81.3333,2573.6937,2573.5497,2574.0549,31.6438,31.642,31.6482,True,False,ed25519
ed25519_vs_bls,1.0,32,2000,61.0,81.3333,2573.6937,2573.5497,2574.0549,31.6438,31.642,31.6482,True,False,ed25519
