# python=3.12.3
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# cpu=Intel(R) Core(TM) i5-14400F
# governor=WSL, governor uncontrolled
# cryptography=45.0.7
# blspy=2.0.3
# cbor2=5.8.0
# msgpack=1.2.1
# run=ns3_matrix_72B_30seed
# ns3_version=3.41
# config_hash=7720b4ed413697d4
N,mode,seed,frameSize,simTime,goodput_mbps
50,unicast,23,72,5.0,1.40947
50,unicast,24,72,5.0,1.40625
50,unicast,25,72,5.0,1.40682
50,unicast,26,72,5.0,1.40026
50,unicast,27,72,5.0,1.40532
50,unicast,28,72,5.0,1.40682
50,unicast,29,72,5.0,1.40544
50,unicast,30,72,5.0,1.40463
50,broadcast,1,72,5.0,0.618739
50,broadcast,2,72,5.0,0.611597
50,broadcast,3,72,5.0,0.615744
50,broadcast,4,72,5.0,0.614707
50,broadcast,5,72,5.0,0.614016
50,broadcast,6,72,5.0,0.617242
50,broadcast,7,72,5.0,0.61344
50,broadcast,8,72,5.0,0.615744
50,broadcast,9,72,5.0,0.61056
50,broadcast,10,72,5.0,0.615168
50,broadcast,11,72,5.0,0.620467
50,broadcast,12,72,5.0,0.625766
50,broadcast,13,72,5.0,0.617818
50,broadcast,14,72,5.0,0.614707
50,broadcast,15,72,5.0,0.608947
50,broadcast,16,72,5.0,0.619776
50,broadcast,17,72,5.0,0.61079
50,broadcast,18,72,5.0,0.62231
50,broadcast,19,72,5.0,0.614592
50,broadcast,20,72,5.0,0.620237
50,broadcast,21,72,5.0,0.610906
50,broadcast,22,72,5.0,0.620698
50,broadcast,23,72,5.0,0.627955
50,broadcast,24,72,5.0,0.59881
50,broadcast,25,72,5.0,0.61655
50,broadcast,26,72,5.0,0.616205
50,broadcast,27,72,5.0,0.608947
50,broadcast,28,72,5.0,0.609062
50,broadcast,29,72,5.0,0.619661
50,broadcast,30,72,5.0,0.609638
