# schema=authbc.energy.samples/1
# capture_host=DESKTOP-TROHJN7
# platform=Linux-6.6.114.1-microsoft-standard-WSL2-x86_64-with-glibc2.39
# port=/dev/ttyACM0
# baud=115200
# capture_start_utc=20260727T231443Z
ms,window,wtrans,V1,I1_mA,P1_W,V2,I2_mA,P2_W
2448,0,0,5.056,371.4,1.8740,5.220,419.5,2.1960
2468,0,0,5.068,368.7,1.8680,5.220,419.2,2.1980
2488,0,0,5.068,367.9,1.8640,5.220,421.0,2.1960
2508,0,0,5.060,371.0,1.8780,5.220,419.9,2.1920
2528,0,0,5.060,374.8,1.8620,5.220,418.9,2.1860
2548,0,0,5.076,366.6,1.9000,5.220,419.0,2.1880
2568,0,0,5.064,372.3,1.8640,5.220,418.9,2.1880
2588,0,0,5.084,368.2,1.8640,5.220,419.7,2.1860
2608,0,0,5.060,370.8,1.8740,5.220,419.8,2.1920
2628,0,0,5.064,374.0,1.8580,5.220,419.8,2.1880
2648,0,0,5.068,365.9,1.9000,5.224,418.5,2.1920
2668,0,0,5.060,370.6,1.8680,5.224,419.0,2.1920
2688,0,0,5.088,367.6,1.8680,5.220,420.5,2.1920
2708,0,0,5.072,372.5,1.8880,5.224,419.1,2.1880
2728,0,0,5.060,371.4,1.8780,5.204,419.7,2.1880
2748,0,0,5.064,372.3,1.8800,5.212,463.8,2.4280
2768,0,0,5.060,370.8,1.8800,5.212,459.3,2.3880
2788,0,0,5.024,403.3,2.0480,5.212,458.4,2.3980
2808,0,0,5.068,367.8,1.8620,5.216,459.2,2.3960
2828,0,0,5.068,366.1,1.8980,5.208,491.5,2.5600
2848,0,0,5.060,374.3,1.8580,5.208,491.7,2.5600
2868,0,0,5.068,366.0,1.8940,5.208,490.9,2.5560
2888,0,0,5.040,412.6,2.0740,5.208,491.9,2.5600
2908,0,0,5.064,373.2,1.8940,5.212,463.3,2.4160
2928,0,0,5.068,367.0,1.8940,5.212,464.1,2.4180
2948,0,0,5.068,371.0,1.8940,5.216,459.2,2.3920
2968,0,0,5.068,367.8,1.8940,5.216,460.6,2.3880
2988,0,0,5.068,380.2,1.9260,5.212,458.7,2.3880
3008,0,0,5.064,369.5,1.8720,5.212,458.1,2.3880
3028,0,0,5.056,375.1,1.8580,5.212,459.3,2.3960
3048,0,0,5.052,400.9,2.0700,5.212,458.3,2.3880
3068,0,0,5.044,407.6,2.0180,5.212,458.9,2.3880
3088,0,0,5.044,408.9,2.0680,5.212,463.6,2.3920
3108,0,0,5.052,403.9,2.0380,5.216,458.7,2.3920
3128,0,0,5.064,382.9,1.9000,5.212,458.5,2.3880
3148,0,0,5.064,370.5,1.8720,5.212,458.9,2.3880
3168,0,0,5.072,365.6,1.8980,5.212,457.4,2.3920
3188,0,0,5.060,371.5,1.8780,5.216,460.0,2.4160
3208,0,0,5.060,371.8,1.8800,5.212,458.6,2.3880
3228,0,0,5.072,368.4,1.8880,5.212,458.8,2.3880
3248,0,0,5.060,370.5,1.8880,5.212,458.8,2.3920
3268,0,0,5.068,371.2,1.8680,5.216,459.3,2.3880
3288,0,0,5.068,371.4,1.8800,5.216,459.2,2.3880
3308,0,0,5.064,366.5,1.8540,5.212,459.7,2.3960
3328,0,0,5.068,370.9,1.8640,5.212,458.0,2.3880
3348,0,0,5.064,374.9,1.8520,5.216,459.4,2.3960
3368,0,0,5.068,367.1,1.9000,5.212,458.5,2.3980
3388,0,0,5.064,371.8,1.8800,5.212,458.3,2.3920
3408,0,0,5.068,370.3,1.8780,5.212,461.9,2.4080
3428,0,0,5.076,365.2,1.9000,5.216,458.9,2.3920
3448,0,0,5.068,372.1,1.8800,5.216,458.9,2.3920
3468,0,0,5.072,365.6,1.8940,5.212,459.0,2.3880
3488,0,0,5.076,374.1,1.8980,5.216,459.2,2.3960
3508,0,0,5.088,366.7,1.8620,5.216,458.0,2.3860
3528,0,0,5.068,373.2,1.8800,5.216,458.7,2.3920
3548,0,0,5.072,370.8,1.8880,5.212,458.4,2.3880
3568,0,0,5.060,374.2,1.8540,5.216,458.9,2.3880
3588,0,0,5.068,374.4,1.8980,5.216,459.0,2.3880
3608,0,0,5.076,369.5,1.8800,5.216,458.8,2.3920
3628,0,0,5.060,371.9,1.8580,5.216,459.2,2.3920
3648,0,0,5.060,369.3,1.8800,5.212,458.4,2.3880
3668,0,0,5.064,370.3,1.8720,5.216,458.0,2.3920
3688,0,0,5.064,368.4,1.8640,5.212,457.2,2.3960
3708,0,0,5.028,383.6,1.9460,5.212,458.5,2.3880
3728,0,0,5.064,370.3,1.8580,5.216,458.2,2.3880
3748,0,0,5.064,372.5,1.8620,5.212,459.2,2.3920
3768,0,0,5.064,372.9,1.8640,5.216,459.3,2.3880
3788,0,0,5.064,372.0,1.8800,5.212,458.6,2.3880
3808,0,0,5.060,404.4,2.0320,5.212,458.8,2.3920
3828,0,0,5.064,371.6,1.8900,5.216,458.0,2.3860
3848,0,0,5.056,375.3,1.8580,5.212,458.9,2.3920
3868,0,0,5.056,374.4,1.8580,5.216,460.0,2.3880
3888,0,0,5.068,374.8,1.9000,5.216,458.1,2.3920
3908,0,0,5.064,369.7,1.8680,5.212,459.1,2.3920
3928,0,0,5.060,370.7,1.8840,5.212,458.2,2.3880
3948,0,0,5.068,371.9,1.8680,5.212,458.3,2.3880
3968,0,0,5.056,370.6,1.8780,5.212,458.3,2.3920
3988,0,0,5.056,368.1,1.8620,5.216,458.7,2.3920
4008,0,0,5.064,370.7,1.8740,5.212,460.9,2.4060
4028,0,0,5.060,374.8,1.8520,5.216,458.2,2.3880
4048,0,0,5.072,366.8,1.8840,5.212,459.0,2.3920
4068,0,0,5.060,374.3,1.8540,5.216,457.8,2.3920
4088,0,0,5.060,369.5,1.8720,5.212,458.7,2.3920
4108,0,0,5.056,371.9,1.8840,5.216,458.2,2.3880
4128,0,0,5.068,366.4,1.8840,5.212,458.2,2.3880
4148,0,0,5.072,369.9,1.9000,5.216,458.0,2.3860
4168,0,0,5.060,369.6,1.8680,5.212,457.7,2.3880
4188,0,0,5.060,366.1,1.8540,5.212,458.7,2.3880
4208,0,0,5.068,378.5,1.9140,5.212,458.5,2.3880
4228,0,0,5.084,365.8,1.8900,5.216,458.8,2.3880
4248,0,0,5.060,371.6,1.8680,5.216,458.9,2.3920
4268,0,0,5.068,368.0,1.8980,5.212,457.7,2.3960
4288,0,0,5.064,366.8,1.8580,5.212,458.9,2.3880
4308,0,0,5.068,374.6,1.8980,5.212,458.5,2.3880
4328,0,0,5.084,371.5,1.8680,5.212,458.4,2.3880
4348,0,0,5.068,371.7,1.8780,5.212,458.8,2.3920
4368,0,0,5.072,367.9,1.8880,5.216,458.8,2.3880
4388,0,0,5.060,371.5,1.8800,5.212,459.5,2.3880
4408,0,0,5.068,367.5,1.8580,5.216,458.6,2.3880
4428,0,0,5.088,367.0,1.8900,5.212,458.7,2.3920
4448,0,0,5.068,372.7,1.8720,5.216,459.3,2.3960
4468,0,0,5.060,373.5,1.8780,5.212,458.3,2.3920
4488,0,0,5.064,372.2,1.8840,5.216,458.5,2.3980
4508,0,0,5.064,371.0,1.8800,5.216,458.9,2.3920
4528,0,0,5.028,411.7,1.9440,5.216,458.1,2.3880
4548,0,0,5.060,371.6,1.8640,5.212,459.5,2.3960
4568,0,0,5.060,371.3,1.8780,5.212,458.2,2.3880
4588,0,0,5.068,373.2,1.8900,5.212,458.4,2.3960
4608,0,0,5.064,366.3,1.8540,5.216,459.3,2.3960
4628,0,0,5.052,408.8,2.0740,5.216,457.7,2.3860
4648,0,0,5.068,368.1,1.8840,5.216,458.5,2.3880
4668,0,0,5.068,366.4,1.8540,5.212,458.1,2.3920
4688,0,0,5.064,369.0,1.8720,5.216,459.4,2.3880
4708,0,0,5.056,369.1,1.8680,5.212,459.1,2.3920
4728,0,0,5.064,380.6,1.9160,5.212,458.2,2.3880
4748,0,0,5.064,367.7,1.8880,5.212,458.7,2.3920
4768,0,0,5.064,369.5,1.8720,5.212,459.3,2.3880
4788,0,0,5.068,372.6,1.8900,5.212,458.3,2.3880
4808,0,0,5.060,369.8,1.8740,5.212,459.7,2.3960
4828,0,0,5.072,371.6,1.8800,5.212,457.9,2.3860
4848,0,0,5.064,374.9,1.8580,5.212,458.1,2.3880
4868,0,0,5.068,370.8,1.8780,5.216,459.2,2.3880
4888,0,0,5.064,372.0,1.8800,5.212,459.2,2.3860
4908,0,0,5.068,373.6,1.8940,5.212,458.8,2.3920
4928,0,0,5.072,366.6,1.8980,5.212,462.7,2.4120
4948,0,0,5.064,373.1,1.8640,5.220,420.4,2.1960
4968,0,0,5.064,367.3,1.8580,5.220,419.7,2.1920
4988,0,0,5.064,371.5,1.8840,5.220,419.9,2.1880
5008,0,0,5.064,366.3,1.8540,5.220,419.5,2.1880
5028,0,0,5.068,368.4,1.8980,5.220,421.7,2.2020
5048,0,0,5.064,372.4,1.8740,5.220,421.4,2.1980
5068,0,0,5.064,373.6,1.8940,5.220,420.0,2.1860
5088,0,0,4.948,381.2,1.9500,5.224,421.0,2.1980
5108,0,0,5.056,381.0,1.9300,5.220,420.1,2.1920
5128,0,0,5.056,372.4,1.8580,5.220,419.7,2.1880
5148,0,0,5.068,368.8,1.8840,5.220,419.8,2.1920
5168,0,0,5.072,374.4,1.9000,5.220,419.1,2.1920
5188,0,0,5.060,365.8,1.8520,5.216,419.5,2.1860
5208,0,0,5.068,370.2,1.8780,5.224,419.0,2.1860
5228,0,0,5.056,378.9,1.8620,5.220,420.2,2.1920
5248,0,0,5.096,367.5,1.8800,5.224,419.1,2.1880
5268,0,0,5.068,371.7,1.8840,5.220,419.9,2.1920
5288,0,0,5.068,373.7,1.8940,5.224,418.2,2.1880
5308,0,0,5.060,367.6,1.8640,5.220,420.1,2.1920
5328,0,0,5.068,372.2,1.9140,5.216,419.7,2.1880
5348,0,0,5.072,377.9,1.8900,5.220,420.2,2.1920
5368,0,0,5.064,369.9,1.8740,5.220,420.7,2.1860
5388,0,0,5.060,371.8,1.8840,5.220,418.6,2.1880
5408,0,0,5.072,372.0,1.8840,5.224,420.1,2.1920
5428,0,0,5.060,370.7,1.8800,5.220,419.9,2.1880
5448,0,0,5.024,415.2,2.0160,5.224,419.7,2.1920
5468,0,0,5.056,365.7,1.8520,5.220,419.1,2.1960
5488,0,0,5.064,370.0,1.8740,5.220,420.2,2.1880
5508,0,0,5.068,368.6,1.8680,5.220,419.5,2.1880
5528,0,0,5.064,374.3,1.8480,5.220,419.3,2.1880
5548,0,0,5.060,380.3,1.9400,5.212,459.5,2.3960
5568,0,0,5.064,371.4,1.8800,5.220,419.9,2.1920
5588,0,0,5.060,372.5,1.8840,5.208,453.1,2.3560
5608,0,0,5.068,374.5,1.9000,5.220,453.6,2.3620
5628,0,0,5.072,366.1,1.9000,5.216,451.9,2.3560
5648,0,0,5.060,371.3,1.8840,5.216,492.1,2.5620
5668,0,0,5.064,364.7,1.8440,5.216,452.2,2.3700
5688,0,0,5.064,371.2,1.8780,5.220,418.5,2.1880
5708,0,0,5.060,366.6,1.8540,5.220,418.8,2.1860
5728,0,0,5.060,371.3,1.8800,5.220,419.0,2.1860
5748,0,0,5.064,374.1,1.8580,5.220,428.4,2.2340
5768,0,0,5.060,368.9,1.8720,5.220,420.3,2.1860
5788,0,0,5.072,371.3,1.8840,5.216,420.0,2.1880
5808,0,0,5.052,406.1,2.0540,5.220,419.0,2.1860
5828,0,0,5.056,405.0,2.0420,5.220,420.1,2.1920
5848,0,0,5.048,404.0,2.0440,5.220,425.1,2.2180
5868,0,0,5.052,406.5,2.0520,5.220,418.8,2.1860
5888,0,0,5.092,366.9,1.8620,5.220,419.8,2.1880
5908,0,0,5.064,370.8,1.8800,5.220,418.5,2.1860
5928,0,0,5.072,367.4,1.9000,5.224,419.4,2.1880
5948,0,0,5.068,371.5,1.8840,5.220,418.5,2.1860
5968,0,0,5.068,372.7,1.8880,5.220,419.9,2.1920
5988,0,0,5.072,369.1,1.8680,5.220,419.4,2.1920
6008,0,0,5.060,372.5,1.8840,5.220,419.6,2.1880
6028,0,0,5.060,373.8,1.8620,5.220,419.2,2.1880
6048,0,0,5.068,365.5,1.8940,5.220,419.5,2.1880
6068,0,0,5.032,418.0,2.0980,5.220,419.8,2.1880
6088,0,0,4.996,570.4,2.8240,5.220,418.7,2.1860
6108,0,0,5.124,411.8,2.0900,5.220,419.4,2.1880
6128,0,0,5.040,417.0,2.0880,5.220,418.1,2.1820
6148,0,0,4.912,555.1,2.6880,5.216,419.4,2.1880
6168,0,0,4.936,555.3,2.8500,5.220,421.3,2.1860
6188,0,0,5.044,413.6,2.0880,5.220,420.7,2.1880
6208,0,0,5.040,414.3,2.0900,5.220,420.8,2.1960
6228,0,0,5.048,410.6,2.0700,5.220,421.7,2.1980
6248,0,0,5.152,514.6,2.2640,5.220,418.8,2.1860
6268,0,0,4.984,555.3,2.7620,5.220,419.3,2.1920
6288,0,0,5.056,413.2,2.0880,5.220,420.0,2.1820
6308,0,0,4.932,632.7,3.1200,5.224,419.2,2.1880
6328,0,0,5.020,543.5,2.6680,5.220,419.0,2.1860
6348,0,0,4.964,571.8,2.8080,5.220,429.2,2.2420
6368,0,0,5.060,411.7,2.0780,5.212,464.4,2.2340
6388,0,0,4.988,558.8,2.7880,5.220,419.1,2.2060
6408,0,0,5.044,545.8,2.7320,5.224,419.2,2.1880
6428,0,0,4.984,537.4,2.7460,5.224,419.2,2.1880
6448,0,0,4.948,563.1,2.7980,5.220,420.2,2.1920
6468,0,0,4.964,580.6,2.8840,5.208,459.7,2.3880
6488,0,0,4.956,581.4,2.8860,5.220,419.3,2.1880
6508,0,0,4.956,583.3,2.8900,5.216,419.3,2.1860
6528,0,0,4.964,582.1,2.8840,5.220,418.1,2.1820
6548,0,0,5.012,417.8,2.0780,5.224,418.3,2.1820
6568,0,0,4.960,617.8,3.0940,5.220,426.6,2.2800
6588,0,0,5.016,589.9,2.9500,5.224,418.6,2.1880
6608,0,0,5.096,409.9,2.0940,5.220,419.6,2.1880
